location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
South Coast,2019-01-31T01:21:19+00:00,considerable,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Hazard may be one step higher if the storm arrives earlier than expected.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
North Columbia,2019-01-31T01:55:17+00:00,high,high,high,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Watch for the development of shallow storm slabs and fast moving loose dry avalanches as storm totals stack up Thursday. A natural cycle may be underway by Thursday night as the storm snow overwhelms the widespread buried surface hoar.</span></p>","Timing, track, or intensity of incoming weather system is uncertain on Thursday"
South Columbia,2019-01-31T01:08:42+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The alpine is expected to be generally LOW danger on Thursday, but shallow slabs may begin to form if the storm arrives during dayight hours. Small avalanches continue to be a concern at and below treeline where buried surface hoar remains preserved.</span></p>","Timing, track, or intensity of incoming weather system is uncertain on Friday"
Purcells,2019-01-31T00:24:32+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The snowpack in the Purcells this season is exceptional, and not in a good way. We've summarized our thoughts on this precarious snowpack in the latest forecasters blog </span><a href=""https://www.avalanche.ca/blogs/purcells-weakness"" target=""_blank""><span class=""s_9255B882"">here</span></a><span class=""s_AA239A9B"">. Take it easy out there, this is not the time for the big lines.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
Kootenay Boundary,2019-01-31T00:39:32+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Hazard is expected to rise on Friday with the incoming storm. Uncertainty still exists regarding the reactivity of a buried weak layer that has been most prevalent on shady aspects, at treeline elevations.</span></p>",
South Rockies,2019-01-31T23:52:21+00:00,considerable,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Continue to make cautious decisions due to the weak layers buried in the snowpack.</span></p>",
Lizard Range and Flathead,2019-01-31T23:46:00+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">New wind slabs will likely form with the incoming storm. Also continue to use caution due to a buried weak layer in the snowpack.</span></p>",Intensity of incoming weather systems is uncertain
"Kananaskis Country, Alberta Parks",2019-01-31T23:00:00Z,considerable,considerable,moderate,,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We are expecting significant snow and wind by tomorrow afternoon.&nbsp; Watch for rapid hazard changes if the amount of snow/timing varies from the forecast.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-01T00:47:12+00:00,high,high,high,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stability will deteriorate over the day as new snow stacks up. There's a good chance this dump will be enough to bring our buried weak layer back to life. Consider the danger to be HIGH in areas that receive over 30 cm of new snow.</span></p>",
Northwest Coastal,2019-02-01T01:32:25Z,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_3FE45715"">A wallop of snow is expected Thursday night with the most in the south of the region. All the recent storm snow will likely be touchy to human traffic on Friday. Best to avoid alpine avalanche terrain and travel conservatively at lower elevations.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
Northwest Inland,2019-01-31T23:59:07+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">More snow will accumulate Thursday night into Friday, with the highest amounts expected in the south of the region. Best to treat this snow with added caution and apply conservative travel techniques.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
Sea To Sky,2019-02-01T00:52:57+00:00,high,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">A natural avalanche cycle is forecast for Friday. Travel in avalanche terrain is not recommended.</span></p>",Forecast snowfall amounts are uncertain
South Coast Inland,2019-02-01T01:07:30+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Fresh storm slabs will be primed for human triggers. Stick to simple terrain and stay well away from any large avalanche paths.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
South Coast,2019-02-01T00:26:33Z,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_DDF6C5E8"">Expect hazard to be HIGH in areas that receive snow instead of rain on Friday.</span></p>",Freezing levels are uncertain
North Columbia,2019-02-01T00:47:32+00:00,high,high,high,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The North Columbias have been a hotspot for persistent slab activity and a dump of new snow is just going to make it worse. Expect stability to deteriorate over the day.</span></p>",
South Columbia,2019-02-01T00:52:56+00:00,considerable,high,high,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Stability will deteriorate over the day as new snow stacks up. There's a good chance this dump could be enough to bring our buried weak layer back to life. Consider the danger to be HIGH in areas that receive over 30 cm of new snow.</span></p>",
Purcells,2019-02-01T00:46:11+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">New wind slabs are just the latest in a list of avalanche problems plaguing the region. Avoiding triggering one will be the first step in avoiding deeper persistent weaknesses.</span></p>",Forecast snowfall amounts are uncertain
Kootenay Boundary,2019-02-01T01:26:16Z,considerable,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Fresh storm slabs will form on a variety of surfaces and be primed for human triggers. Start in simple terrain without consequence to assess the bond of the new snow and avoid large avalanche paths.</span></p>","Timing, track, or intensity of incoming weather system is uncertain"
South Rockies,2019-02-01T23:00:00Z,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Precipitation amounts overnight Friday are higher than what was forecast with some areas&nbsp; in the region (particularly along the divide) receiving 30cm + snow. In light of this avalanche danger is RATED as high. Updated Feb 2, 2019.</span></p>",
Lizard Range and Flathead,2019-01-31T23:46:00+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">New wind slabs will likely form with the incoming storm. Also continue to use caution due to a buried weak layer in the snowpack.</span></p>",Intensity of incoming weather systems is uncertain
"Kananaskis Country, Alberta Parks",2019-02-01T23:01:45+00:00,considerable,considerable,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">20-30cm of snow is on its way. While not a huge amount, we are expecting a brief natural cycle tomorrow.&nbsp; </span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-02T01:10:20+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Rapid loading from heavy snowfall and wind is the perfect recipe for avalanches. Avoid avalanche terrain. </span></p>",
Northwest Coastal,2019-02-02T01:18:04+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Recent new snow in the south of the region will require a few days to settle and stabilize. Look for the sky to clear and the temperature to drop significantly this weekend as cold air invades from the north.</span></p>",Due to the number of field observations
Northwest Inland,2019-02-02T01:05:53+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The temperature is expected to drop significantly through the weekend as cold air invades from the north.</span></p>",The weather pattern is stable
Sea To Sky,2019-02-02T01:28:09+00:00,considerable,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Fresh storm slabs remain primed for human triggers. Use small slopes without consequence to test the bond of the new snow.</span></p>",
South Coast Inland,2019-02-02T01:11:32+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Fresh storm slabs may be primed for human triggers. Start in simple terrain to test the bond of the new snow.</span></p>",
South Coast,2019-02-02T00:42:48+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Storm slabs may remain reactive to human triggers in the alpine and possibly upper treeline elevations. Use small slopes without consequence to test the bond of the new snow.</span></p>",
North Columbia,2019-02-02T01:31:22+00:00,considerable,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Rapid loading from heavy snowfall and wind is the perfect recipe for avalanches. Avoid avalanche terrain. </span></p>",
South Columbia,2019-02-02T01:30:16+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The South Columbia received highly variable snowfall amounts in the storm with the highest amounts near the Revelstoke area. Hazard is likely HIGH in the mountains near Revelstoke. South of Trout Lake is likely well represented by this bulletin.</span></p>",Forecast snowfall amounts are uncertain
Purcells,2019-02-02T00:51:20+00:00,considerable,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">New snow and wind will mean that storm slabs are to be expected, and will likely be reactive to human triggering, especially in wind loaded areas.</span></p>",
Kootenay Boundary,2019-02-02T01:53:56+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Fresh storm slabs are primed for human triggers. Use small slopes without consequence to test the bond of the new snow.</span></p>",Forecast snowfall amounts are uncertain
South Rockies,2019-02-01T23:00:00Z,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Precipitation amounts overnight Friday are higher than what was forecast with some areas&nbsp; in the region (particularly along the divide) receiving 30cm + snow. In light of this avalanche danger is RATED as high. Updated Feb 2, 2019.</span></p>",
Lizard Range and Flathead,2019-02-02T01:31:30+00:00,considerable,moderate,moderate,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Snowfall amounts for Friday night are uncertain. If the new snow amount is locally 30 cm or more the avalanche danger will be HIGH. </span><a href=""https://www.facebook.com/notes/avalanche-canada-south-rockies/what-to-expect-when-youre-expecting/2759835630758581/"" target=""_blank""><span class=""s_9255B882"">Click here for summary of the current conditions and what to expect with some new snow.</span></a><span class=""s_AA239A9B"" /></p>",Forecast snowfall amounts are uncertain on Saturday
"Kananaskis Country, Alberta Parks",2019-02-02T23:51:55+00:00,considerable,considerable,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Lots of snow out there that needs some time to settle. Great skiing in sheltered trees at the moment. </span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-03T00:40:26+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The storm and associated natural avalanches have tapered off to some degree, but give the snowpack some time to adjust to recent loading. Choose conservative terrain.</span></p>",
Northwest Coastal,2019-02-03T00:47:09+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Strong northeast winds will continue to build wind slabs on Sunday. Use added caution and choose conservative routes, particularly where wind effect is observed.</span></p>",
Northwest Inland,2019-02-03T23:53:14+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Strong northeast winds have created wind slabs in exposed terrain. Use added caution, particularly if you notice the snow stiffening during your travels.</span></p>",
Sea To Sky,2019-02-03T00:32:22+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Windslabs at treeline and in the alpine are the main concern. Expect the temperature to fall as cold air infiltrates the region from the north.</span></p>",The weather pattern is stable
South Coast Inland,2019-02-03T00:15:57+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs in the alpine and treeline are the primary concern. Expect the temperature to fall as cold air invades from the north.</span></p>",Due to the number of field observations
South Coast,2019-02-03T00:17:42+00:00,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is a cooling trend forecast for this weekend.</span></p>",The weather pattern is stable
North Columbia,2019-02-03T00:37:24+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Natural avalanche activity has tapered off to some degree, but human triggered avalanches remain likely. Conservative terrain selection is recommended.</span></p>",
South Columbia,2019-02-03T00:48:45+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715""> Natural avalanche activity has tapered off to some degree, but human triggered avalanches remain likely. Conservative terrain selection is recommended.</span></p>",
Purcells,2019-02-03T00:38:29+00:00,considerable,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715""> Natural avalanche activity has tapered off to some degree, but human triggered avalanches remain likely. Conservative terrain selection is recommended.</span></p>",
Kootenay Boundary,2019-02-03T00:24:34Z,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Recent new snow will take a few days to settle and bond. The temperature is forecast to drop as cold air comes in from the north.</span></p>",
South Rockies,2019-02-03T23:35:35+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The recent snow is of concern because it may still be reactive to human traffic and it is loading buried weak layers. Best to apply conservative route selection.</span></p>",Due to the number of field observations
Lizard Range and Flathead,2019-02-03T23:28:41+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Wind slabs may linger with the cold temperature. If triggered, they have the potential to step down to a buried weak layer.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-03T23:00:00Z,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Good skiing can be found at all elevations.&nbsp; New snow still needs time to settle and bond.&nbsp; </span></p>",Due to the number of field observations
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-04T00:09:45+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
Northwest Coastal,2019-02-04T00:05:28+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Wind slabs formed by strong outflow winds may be reactive on Monday. Use added caution and choose conservative routes, particularly where wind effect is observed.</span></p>",
Northwest Inland,2019-02-03T23:53:14+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Strong northeast winds have created wind slabs in exposed terrain. Use added caution, particularly if you notice the snow stiffening during your travels.</span></p>",
Sea To Sky,2019-02-04T00:27:24+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Windslabs at upper elevations are the main concern. The cold air will remain for a few more days.</span></p>",The weather pattern is stable
South Coast Inland,2019-02-04T00:24:15+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The main concern is wind slabs at upper elevations. Cold temperatures will persist for a few more days.</span></p>",The weather pattern is stable
South Coast,2019-02-04T00:20:47Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">A mix of sun and cloud with the temperature staying below freezing for the next few days.</span></p>",The weather pattern is stable
North Columbia,2019-02-04T00:16:44+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
South Columbia,2019-02-04T00:13:34+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
Purcells,2019-02-04T00:07:28+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
Kootenay Boundary,2019-02-04T00:17:53+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The story for the next few days will be the colder weather, however continue to consider the reactivity of recently buried weak layer.</span></p>",The weather pattern is stable
South Rockies,2019-02-03T23:35:35+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The recent snow is of concern because it may still be reactive to human traffic and it is loading buried weak layers. Best to apply conservative route selection.</span></p>",Due to the number of field observations
Lizard Range and Flathead,2019-02-03T23:28:41+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Wind slabs may linger with the cold temperature. If triggered, they have the potential to step down to a buried weak layer.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-04T23:00:00Z,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Good skiing can be found at tree line and below.&nbsp; Careful evaluation of wind slabs&nbsp; is essential before adventuring in the alpine.</span></p>",Due to the number of field observations
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-05T00:42:36+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Natural avalanche activity has slowed down, but human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
Northwest Coastal,2019-02-05T00:46:07+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Strong outflow winds have created wind slabs in exposed terrain. </span></p>",The weather pattern is stable
Northwest Inland,2019-02-05T00:49:48+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Strong northeast winds have created wind slabs in exposed terrain at upper elevations.</span></p>",
Sea To Sky,2019-02-05T23:58:07Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs have formed on a variety of aspects due to shifting winds. Natural avalanche activity has tapered off but human triggered avalanches remain possible.</span></p>",The weather pattern is stable
South Coast Inland,2019-02-05T00:43:16+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Windslabs have formed on variety of aspects with shifting winds. It's expected to stay cold for a few more days.</span></p>",The weather pattern is stable
South Coast,2019-02-05T23:30:28+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stiff wind slabs may be reactive to human triggers. </span></p>",The weather pattern is stable
North Columbia,2019-02-05T00:43:24+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Natural avalanche activity has slowed down, but human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
South Columbia,2019-02-05T00:45:01+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Natural avalanche activity has slowed down, but human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
Purcells,2019-02-05T00:44:13+00:00,moderate,considerable,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Natural avalanche activity has slowed down, but human triggered avalanches remain likely, especially in wind loaded areas and at lower elevations where a buried surface hoar layer has produced avalanches recently.</span></p>",
Kootenay Boundary,2019-02-05T00:25:06+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The story for the next few days will be the cold and clear weather, however continue to consider the reactivity of recently buried weak layer.</span></p>",The weather pattern is stable
South Rockies,2019-02-05T00:45:25+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The recent snow has added load to buried weak layers and may still be reactive to human triggers. Conservative terrain selection is recommended.</span></p>",
Lizard Range and Flathead,2019-02-05T00:46:05+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">The recent snow has added load to buried weak layers and may still be reactive to human triggers. Conservative terrain selection is recommended.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-05T23:00:00Z,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Avalanche activity is still happening.&nbsp; Good skiing can be found at tree line and below.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-06T00:12:12+00:00,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The unusual danger rating is due to a buried weak layer that exists mainly at treeline and below. It is easily triggered by humans and there is the potential for large avalanches at lower elevations. Choose low angled terrain, especially in the trees</span></p>",
Northwest Coastal,2019-02-06T00:53:35+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Shifting winds have blown our storm snow into wind slabs on all aspects in wind-affected areas. Seek out sheltered areas and lower angled slopes for the safest, best skiing and riding.</span></p>",The weather pattern is stable
Northwest Inland,2019-02-06T00:53:45+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Northwest winds have blown our storm snow into wind slabs on lee slopes and cross-loaded features in wind-affected areas. Seek out sheltered areas and lower angled slopes for the safest, best skiing and riding.</span><span class=""s_AA239A9B"" /></p>",The weather pattern is stable
Sea To Sky,2019-02-05T23:58:07Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs have formed on a variety of aspects due to shifting winds. Natural avalanche activity has tapered off but human triggered avalanches remain possible.</span></p>",The weather pattern is stable
South Coast Inland,2019-02-06T00:18:49+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs have formed on a variety of aspects due to shifting winds. Natural avalanche activity has tapered off but human triggered avalanches remain possible.</span></p>",The weather pattern is stable
South Coast,2019-02-06T23:57:03+00:00,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stiff wind slabs could be reactive to human triggers at upper elevations.</span></p>",The weather pattern is stable on Thursday
North Columbia,2019-02-06T00:12:51+00:00,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The unusual danger rating is due to a buried weak layer that exists mainly at treeline and below. It is easily triggered by humans and there is the potential for large avalanches at lower elevations. Choose low angled terrain, especially in the trees</span></p>",
South Columbia,2019-02-06T00:14:00+00:00,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The unusual danger rating is due to a buried weak layer that exists mainly at treeline and below. It is easily triggered by humans and there is the potential for large avalanches at lower elevations. Choose low angled terrain, especially in the trees</span></p>",
Purcells,2019-02-06T00:15:36+00:00,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The unusual danger rating is due to a buried weak layer that exists mainly at treeline and below. It is easily triggered by humans and there is the potential for large avalanches at lower elevations. Choose low angled terrain, especially in the trees</span></p>",
Kootenay Boundary,2019-02-06T23:45:21Z,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Persistent slab problems are not obvious and tricky to manage. This problem is mostly found in open glades and gullies at treeline and below and its just waiting for a trigger.  </span></p>",The weather pattern is stable on Thursday
South Rockies,2019-02-06T00:53:24+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715""> Use visible patterns of wind loading to steer you away from unstable pockets of wind slab. Persistent slabs don't offer these clues, so seek out low consequence slopes in areas where buried surface hoar exists and keep avoiding thin snowpack areas.</span><span class=""s_AA239A9B"" /></p>",
Lizard Range and Flathead,2019-02-06T00:54:13+00:00,moderate,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Use patterns of wind redistribution visible on the surface to steer you away from pockets of wind slab. Persistent slabs don't offer these kinds of clues unless you trigger one, so raise your guard and choose more simple terrain below 1900 metres.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-06T23:00:00Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Approach the alpine with caution, wind slabs are present.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2019-02-07T00:40:07Z,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is a potential for triggering large avalanches at lower elevations due to the presence of a buried weak layer that exists mainly at treeline and below. </span></p>",The weather pattern is stable
Northwest Coastal,2019-02-07T01:03:03+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> A bit of new snow won't add much to our wind slab problems, but it might make recently formed slabs trickier to see. Choose a supported line and treat lee slopes with extra caution.</span></p>",
Northwest Inland,2019-02-07T01:03:26+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715""> A bit of new snow won't add much to our wind slab problems, but it might make them trickier to see. Choose a supported line and treat lee slopes with extra caution.</span></p>",
Sea To Sky,2019-02-07T00:03:50+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs have formed on a variety of aspects due to shifting winds. Natural avalanche activity has tapered off but human triggered avalanches remain possible.</span></p>",The weather pattern is stable on Thursday
South Coast Inland,2019-02-07T00:09:53Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs have developed on a variety of aspects due to shifting winds. Natural avalanche activity has tapered off but human triggered avalanches remain possible.</span></p>",The weather pattern is stable on Thursday
South Coast,2019-02-07T23:57:30Z,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stiff wind slabs may continue to be reactive to human triggers in the alpine.</span></p>",
North Columbia,2019-02-07T00:46:10Z,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is a potential for triggering large avalanches at lower elevations due to the presence of a buried weak layer that exists mainly at treeline and below. </span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",The weather pattern is stable
South Columbia,2019-02-07T00:53:22Z,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is a potential for triggering large avalanches at lower elevations due to the presence of a buried weak layer that exists mainly at treeline and below. </span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",The weather pattern is stable
Purcells,2019-02-07T01:00:34Z,moderate,considerable,considerable,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">There is a potential for triggering large avalanches at lower elevations due to the presence of a buried weak layer that exists mainly at treeline and below. </span></p><p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span></p>",The weather pattern is stable
Kootenay Boundary,2019-02-06T23:45:21Z,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Persistent slab problems are not obvious and tricky to manage. This problem is mostly found in open glades and gullies at treeline and below and its just waiting for a trigger.  </span></p>",The weather pattern is stable on Thursday
South Rockies,2019-02-07T00:55:21+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_3FE45715""> Visible patterns of wind loading will help you to navigate around unstable pockets of wind slab. A less obvious persistent slab problem should have you raising your guard at mid elevations.</span></p>",
Lizard Range and Flathead,2019-02-07T00:53:42+00:00,moderate,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Visible patterns of wind loading will help you to navigate around unstable pockets of wind slab. The less obvious concern is a persistent slab problem that exists from about 1900-1600m. Manage it by selecting conservative, low consequence slopes.</span></p>",
"Kananaskis Country, Alberta Parks",2019-02-07T23:00:00Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Good skiing throughout.&nbsp; Steeper areas should be approached with caution.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
